poi_name,poi_category,poi_type,main_poi,city,province,location_desc,function_desc,sentiment,heat_score,source_text,source_type,confidence,user_intent
道徒步攻略！琼库什台河谷营地补给点,导航类,功能点,道徒步攻略！琼库什台河谷营地,未知,,,,,4400.0,乌孙古道徒步攻略！琼库什台河谷营地补给点分享,post_title,0.85,
乌孙古道,导航类,其他,乌孙古道,未知,,,,,4400.0,乌孙古道徒步攻略！琼库什台河谷营地补给点分享,post_title,0.85,
达河谷营地补给点,导航类,功能点,达河谷营地,未知,,,,,4400.0,从琼库什台村出发，沿着乌孙古道徒步 30 公里到达河谷营地。营地有个补给点可以买水和食物。旁边还有洗手间和充电桩。,post_content,0.7,
达河谷营地洗手间,导航类,设施点,达河谷营地,未知,,,,,4400.0,从琼库什台村出发，沿着乌孙古道徒步 30 公里到达河谷营地。营地有个补给点可以买水和食物。旁边还有洗手间和充电桩。,post_content,0.7,
达河谷营地充电桩,导航类,设施点,达河谷营地,未知,,,,,4400.0,从琼库什台村出发，沿着乌孙古道徒步 30 公里到达河谷营地。营地有个补给点可以买水和食物。旁边还有洗手间和充电桩。,post_content,0.7,
请问琼库什台河谷营地补给点,导航类,功能点,请问琼库什台河谷营地,未知,,,,,50.0,请问琼库什台河谷营地补给点价格贵吗？,comment,0.65,
乌孙古道机位,导航类,拍照点,乌孙古道,未知,,,,,35.0,乌孙古道的机位在哪里？,comment,0.65,
洗手间,导航类,设施点,,未知,,,,,20.0,营地旁边的洗手间干净吗？,comment,0.65,
三亚亚龙湾日落观景台拍照点推荐,导航类,拍照点,三亚亚龙湾日落观景台拍照点推荐,三亚,,,,,3550.0,三亚亚龙湾日落观景台拍照点推荐,post_title,0.85,
日落观赏点,导航类,观测点,,三亚,,,,,3550.0,亚龙湾海滩有个绝佳的日落观赏点，在沙滩右侧。旁边有个拍照点，是拍日落的最佳机位。,post_content,0.7,
机位,导航类,拍照点,,三亚,,,,,3550.0,亚龙湾海滩有个绝佳的日落观赏点，在沙滩右侧。旁边有个拍照点，是拍日落的最佳机位。,post_content,0.7,
拍照点,导航类,拍照点,,三亚,,,,,3550.0,亚龙湾海滩有个绝佳的日落观赏点，在沙滩右侧。旁边有个拍照点，是拍日落的最佳机位。,post_content,0.7,
新疆伊犁那拉提草原露营攻略,导航类,其他,新疆伊犁那拉提草原露营攻略,新疆,,,,,2575.0,新疆伊犁那拉提草原露营攻略,post_title,0.85,
露营点,导航类,功能点,,新疆,,,,,2575.0,那拉提草原景区内有专门的露营点，旁边有补给点可以买水。景区入口有停车场和洗手间。,post_content,0.7,
补给点,导航类,功能点,,新疆,,,,,2575.0,那拉提草原景区内有专门的露营点，旁边有补给点可以买水。景区入口有停车场和洗手间。,post_content,0.7,
洗手间,导航类,设施点,,新疆,,,,,2575.0,那拉提草原景区内有专门的露营点，旁边有补给点可以买水。景区入口有停车场和洗手间。,post_content,0.7,
入口,导航类,功能点,,新疆,,,,,2575.0,那拉提草原景区内有专门的露营点，旁边有补给点可以买水。景区入口有停车场和洗手间。,post_content,0.7,
